"Hugo_symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"PRNP"	0.0354512682603385	8.87014580094003	0.1164920199362	0.907900897977849	0.986153256937787	-5.8948031724102
"PDE3A"	0.0258584876328332	5.62614006965022	0.11644946576466	0.907934385550409	0.986153256937787	-5.89480788897934
"FPGS"	0.0314871329516029	7.89664306429368	0.116413238461927	0.907962894392202	0.986153256937787	-5.89481190294154
"OMG"	0.0175649425257509	4.17170577332558	0.116077166707878	0.908227369768346	0.98630388425988	-5.89484907999283
"EPHA7"	-0.0373536333303521	5.94797832132475	-0.1160661209919	0.908236062496469	0.98630388425988	-5.89485030007312
"KCNK1"	-0.0166773721797053	4.19943751949886	-0.115774120246136	0.908465864612397	0.986330751997593	-5.89488251162416
"VPS13A"	0.0547573513043824	6.51451527758971	0.115755145514492	0.908480797841925	0.986330751997593	-5.89488460198304
"TMEM68"	0.0288959851526736	6.17709910676765	0.11574200170694	0.90849114211838	0.986330751997593	-5.89488604977513
"MGC34800"	-0.0108703205473026	3.24368744448001	-0.115692909189646	0.90852977844556	0.986330751997593	-5.89489145586957
"ADORA1"	0.0393177604341144	4.74704505087352	0.115435353253207	0.908732481365531	0.986341044005571	-5.89491978051794
"DSPP"	0.0208931929232783	5.6853029264409	0.115427645346811	0.908738547774794	0.986341044005571	-5.89492062722088
"GPR174"	0.0191993493070255	4.21924094141112	0.115424539915941	0.908740991866055	0.986341044005571	-5.89492096833223
"UGT2B15"	0.0377344098908221	4.1217531008983	0.115089009670338	0.909005072124118	0.98650117870823	-5.89495777012254
"TARS"	0.0466686471384641	10.1715953131966	0.114923298727238	0.909135499369254	0.98650117870823	-5.89497590621895
"CAPZB"	-0.0368060026948278	10.4052752001131	-0.114878463523643	0.909170788558159	0.98650117870823	-5.89498080868234
"KCNN4"	0.0222465488989156	5.75062814623492	0.114827325992598	0.909211038452552	0.98650117870823	-5.89498639793442
"EPS8L3"	0.0128812802568579	3.42718169962885	0.114809836065419	0.909224804673886	0.98650117870823	-5.8949883089854
"MAP4"	-0.0433135810530008	8.95454566095509	-0.114463544252938	0.909497374812819	0.986665207497973	-5.89502608694433
